Thailändisch,Deutsch,หมายเหตุ
เธอ(๓)อ่านบทความในหนังสือพิมพ์,Sie las den Artikel in der Zeitung.,- Präteritum
พวกเขาทำความรู้จักกับเพื่อน ๆ ของเพื่อน ๆ ของพวกเขา,Sie lernen die Freunde ihrer Freunde kennen.,
เธอ(๓)วิ่งเร็วที่สุด,Sie läuft am schnellsten.,
เธอ(๓ญ)ไม่ชอบเขาเลยแม้แต่น้อย,Sie mag ihn überhaupt nicht.,
คุณ(Sie)ควร(m)ทานอาหารไขมันต่ำ,Sie müssen fettarm essen.,
ที่คุณเห็นด้านหน้าเป็นโบสถ์,Sie sehen geradeaus eine Kirche.,
พวกเขาถ้าไม่ฝั่งเดียวกันก็ฝั่งตรงข้ามกันกับพวกเรา,Sie sind entweder mit uns oder gegen uns.,
เธอ(๓)ร้องเพลงได้ชัดเจนมาก,Sie singt sehr klar.,
พวกเขาเดินเล่นตรงคลอง Landwehr ไปทาง Treptow,Sie spazieren am Landwehrkanal Richtung Treptow.,
เธอ(๓)เล่นกับหัวใจของเขา,Sie spielt mit seinem Herzen.,
เธอ(๓)พูดกับพ่อแม่ของเธอเกี่ยวกับทุกเรื่อง,Sie spricht mit ihren Eltern über alles.,
มัน(ญ)กระโดดไปที่โต๊ะ,Sie springt gegen den Tisch.,
เธอ(๓)ไม่แนะนำฉันให้น้องชายของเธอรู้จัก,Sie stellt mich ihrem Bruder nicht vor.,
พวกเขาหาทุกซอกทุกมุมในโรงเรียน,Sie suchen überall in der Schule.,
เธอ(๓)ใส่หมวกใบหนึ่งอยู่บนหัว,Sie trägt auf dem Kopf einen Hut.,
เธอ(๓)ใส่สร้อยคอเส้นหนึ่งอยู่รอบ ๆ คอ,Sie trägt eine Kette um den Hals.,
พวกเขากอดกัน,Sie umarmen sich.,
พวกเขาอายุห้าขวบและพวกเขาเคยเล่นเป็นสามีภรรยากัน,Sie waren fünf Jahre alt und haben Ehemann und Ehefrau gespielt.,Präteritum + Pärfekt
เธอ(๓)อยากรู้คำตอบ(พหู)มาก ๆ,Sie will unbedingt Antworten finden.,- (นึกคำตอบออก)<br>- อยากมาก: สำนวน
ทันทีที่เธอเห็น ฉัน(ก็)เห็น,"Sobald du siehst, sehe ich.",
ตราบใดที่อากาศไม่หนาว เราก็จะออกไปหาอะไรกิน,"Sofern es nicht kalt ist, gehen wir essen.",
เท่าที่ฉันรู้ทุกอย่างปิดหมดแล้ว,"Sofern ich weiß, hat alles zu.",
ในขณะที่(!w)สุนัขหลับ มันน่ารักน่าชัง(!h),"Solange der Hund schläft, ist er süß.",
ให้ฉันห่อกระป๋องชา<b><u><i>เป็นของขวัญ</i></u></b>ให้คุณเลยไหม,Soll ich Ihnen die Teekanne als Geschenk verpacken?,- Sie
ฉันควรเอา(ญ)สีฟ้าหรือสีเขียวดี,Soll ich die blaue oder die grüne nehmen?,
คุณเล่นเทนนิสไหม,Spielst du Tennis?,du
อย่างช้าสุดหลังจากสองวัน,Spätestens nach zwei Tagen.,
เขาใกล้จะตื่นแล้วหรือยัง,Steht er bald auf?,
เอาหนังสือ(พหู)ไปไว้ในชั้นให้หน่อย,Stell die Bücher bitte ins Regal.,"- du, bitte<br>"
เธอเต้นกับเด็กผู้หญิงไหม,Tanzt du mit dem Mädchen?,
จริง ๆ แล้วเขาได้โกหกฉัน,Tatsächlich hat er mich angelogen.,Perfekt
คุณเล่นกีฬาไหม,Treibst du Sport?,y
คุณชอบดื่มกาแฟไหม,Trinkst du gern Kaffee?,du
เธอเอาชีสไปใส่ในตู้เย็นให้หน่อย,Tu den Käse bitte in den Kühlschrank.,"- du, bitte<br>- tun"
ขอโทษที่เข้ามาในบ้าน(W)เธอโดยไม่ได้รับอนุญาต,"Tut mir Leid, dass ich ohne Erlaubnis in deine Wohnung komme.",
โทษที พรุ่งนี้ฉันเล่นฟุตบอลถึงสองทุ่ม,"Tut mir Leid. Morgen spiele ich Fußball, bis acht Uhr.",umgangssprachlich
ตอนแปดโมงครึ่งฉันเรียน(l)ภาษาเยอรมัน,Um halb neun lerne ich Deutsch.,umgangssprachlich
ตอนสิบเจ็ดนาฬิกาฉันปิด(as)คอมพิวเตอร์และทำความสะอาดโต๊ะทำงาน,Um siebzehn Uhr schalte ich den Computer aus und räume den Schreibtisch auf.,
เราจะไปกินข้าวกันตอนกี่โมง,Um wie viel Uhr gehen wir essen?,
ตอนสองโมงฉันต้องไป(g)เข้าเรียน(คาบบรรยาย),Um zwei Uhr muss ich in die Vorlesung gehen.,
แล้วชุดเดรสตรงนี้หล่ะ มันสั้นกว่าและเล็กกว่า,Und das Kleid hier? Es ist kürzer und kleiner.,
แล้วเมื่อไหร่พวกเขาจะพร้อม(!b),Und wann sind sie fertig?,
เราสบตากัน,Unsere Augen treffen sich.,
หนังสือ<sub>(พหู)</sub>ของพวกเราอยู่บนโต๊ะ,Unsere Bücher sind auf dem Tisch.,
เพื่อน ๆ ของพวกเราอยาก(w)ไป(g)โรงละครกับเราวันนี้,Unsere Freunde wollen heute mit uns ins Theater gehen.,
ทีมเรามีสมาชิกเป็นจำนวนมาก(!v),Unsere Mannschaft hat zahlreiche Mitglieder.,
วันนี้เป็นวันเกิดคุณยายของพวกเรา เธออายุ 80 ปี เราจะฉลองวันเกิดให้คุณยายจากใจ,"Unsere Oma hat heute Geburtstag, sie ist achtzig Jahre alt. Wir gratulieren unserer Oma herzlich zum Geburtstag.",
"ด้านล่างของ<b style=""text-decoration-line: underline; font-style: italic;"">เท้า</b>(พหู)ของเธอ(๓)คือหญ้าสีเขียว",Unter ihren Füßen ist grünes Gras.,- ขึ้นประโยคด้วยบุพบท
อย่าลืมซักผ้านะ,Vergiss bitte die Wäsche nicht!,"- du, bitte!<br>- การซักผ้า (คำนาม)"
อย่าลืม　พรุ่งนี้เธอต้องเอาเอกสาร(P)ไปส่งให้แพทย์,Vergiss nicht. Morgen musst du das Papier beim Arzt abgeben.,
หลายครอบครัวสมัครรับหนังสือพิมพ์,Viele Familien abonnieren die Zeitung.,
หลายคนได้ให้คำปรึกษาแก่เธอ(๓),Viele Leute haben sie beraten.,
หลายคนมาที่เบอร์ลิน เพราะว่าเบอร์ลินเป็นเมืองหลวงของเยอรมนี,"Viele Leute kommen nach Berlin, denn Berlin ist die Hauptstadt von Deutschland.",- เพราะว่า: denn
วันจันทร์ถึงวันศุกร์เธอ(๓)ต้องทำงาน,Von Montag bis Freitag muss sie arbeiten.,
ตอนสี่ถึงห้าโมงเย็นฉันซื้อของ　จากนั้นก็นอนงีบสั้น ๆ,Von vier bis fünf Uhr habe ich eingekauft. Danach habe ich kurz geschlafen.,perfekt / umgamgsprachlich
เธอไปได้สร้อยคอที่สวยงามเส้นนี้จากใครมา,Von wem hast du die schöne Kette bekommen?,- Perfekt
ตอน 12:00 ถึง 13:00 น.เราพักกลางวัน,Von zwölf bis dreizehn Uhr haben wir Mittagspause.,offiziell
เมื่อไม่นานมานี้ฉันได้รู้แล้วว่าเขาอยู่ที่ไหน,"Vor Kurzem fand ich heraus, wo er ist.",präteritum
ด้านหน้าภูเขามีทะเลสาบ,Vor dem Berg gibt es einen See.,
หน้าเธอ(๓)มีลูกกระต่ายนั่งอยู่ตัวหนึ่ง,Vor ihr sitzt ein Häschen.,- ขึ้นประโยคด้วยบุพบท
เราจะไปร้านกาแฟกันล่วงหน้า,Vorher gehen wir noch ins Café.,
เธอตื่นนอนเมื่อไหร่,Wann stehst du auf?,du
เย็นวันนี้เราจะเจอกันเมื่อไหร่และที่ไหนนะ,Wann und wo treffen wir uns heute Abend?,
เธอไปหาหมอมา<u>แล้ว</u>หรือยัง เขาพูดว่าไงบ้าง,Warst du schon beim Arzt? Was hat er gesagt?,- Präteritum &amp; perfekt<br>- หาหมอ: sein
เธอเคยไป(อยู่)ปารีสสักครั้งไหม / ไม่ ฉันยังไม่เคยได้อยู่ปารีส　ฉันยังไม่เคยอยู่ฝรั่งเศสเลย,"Warst du schon mal in Paris? / Nein, ich war noch nicht in Paris. Ich war noch nie in Frankreich.",- Pratäritum
ทำไมเธอไม่ไปนอนถ้าเธอง่วง,"Warum gehst du nicht schlafen, wenn du müde bist?",
ทำไมวันนี้เธอ(๓)ถึงมาสาย / เพราะรถไฟ(พหู)เสียเวลา,Warum kommt sie heute später? / Weil die Züge Verspätung haben.,
ทำไมเพื่อนบ้าน(ญ)เราพูดมาก<u>ทุกที</u>เลย,Warum redet unsere Nachbarin immer so viel?,
ทำไมตอนวันศุกร์พวกเธอไม่มากันล่ะ,Warum seid ihr am Freitag nicht gekommen?,- ihr<br>- Perfekt
ทำไมเขาถึงขโมย,Warum stiehlt er?,
ทำไมเขาถึงใส่หมวก(ใบหนึ่ง),Warum trägt er einen Hut?,
ทำไมเธอไม่แต่งตัว,Warum ziehst du dich nicht an?,du
<u>รับ</u>อะไรดีครับ,Was bekommen Sie?,Sie
เธอทำอะไรในวันเสาร์อาทิตย์(ที่ผ่านมา),Was hast du am Wochenende gemacht?,- perfekt
เมื่อวานเธอทำอะไร,Was hast du gestern gemacht?,
เมื่อวานเธอไปทำอะไร　เธอไม่มาเข้าเรียนเลย,Was hast du gestern gemacht? Du bist nicht zum Unterricht gekommen.,perfekt
เกิดอะไรขึ้นกับเขา(ญ),Was ist mit ihr passiert?,
ฉันทำอะไรได้บ้างตอนนี้,Was kann ich jetzt tun?,
โซฟานี้ราคาเท่าไหร่,Was kostet dieses Sofa?,
พวกเราจะเอาอะไรให้(s)เขาในวันเกิดดี,Was können wir ihm zum Geburtstag schenken?,- เราเอาอะไรให้เขาได้บาง
คุณทำอะไรในวันเสาร์อาทิตย์,Was machen Sie am Wochenende?,Sie
คุณทำอะไรในตอนเช้าวันอาทิตย์,Was machst du am Sonntagmorgen?,du
คุณทำอะไรในเวลาว่างของคุณ,Was machst du in deiner Freizeit?,du
เธอชอบเขา(ญ)ตรงไหน,Was magst du an ihr?,
พวกเธออยากจะดื่มอะไร,Was möchtet ihr trinken?,ihr
ฉันควรทำอย่างไรดีเพื่อแก้อาการปวด,Was soll ich gegen die Schmerzen tun?,
นกหาอะไรอยู่ด้านบนนั้น,Was sucht der Vogel da oben?,
เขาเคยรู้สักครั้งไหมว่าเขาไปไหน,"Weiß er je, wohin er geht.",
เธอรู้ไหมว่าทำไม Anne ถึงมาสายขนาดนี้วันนี้,"Weißt du, warum Anne heute so spät kommt?",
เธอรู้ไหมว่าฉันหมายถึงอะไร,"Weißt du, was ich meine?",
ลูก ๆ ของคุณ(Sie)คนไหนบ้าง / เด็กผู้หญิงตัวเล็กทางขวามือกับเด็กผู้ชายผมทองด้านหลัง,Welche Kinder sind Ihre Kinder? / Das kleine Mädchen da rechts und der blonde Junge da hinten.,
กระเป๋าใบไหนเหมาะกับการไปชอปปิง / ไม่มี　แต่ใบไหนก็เหมือนกันแหละ　ฉันจะเอาใบนี้ละกัน,Welche Tasche ist gut zum Einkaufen? / Keine. Aber das ist egal. Ich nehme diese.,
วันนี้วันอะไร,Welcher Tag ist heute?,จันทร์ ~ อาทิตย์
วันอะไรมาก่อนวันพฤหัสบดี,Welcher Tag kommt vor Donnerstag?,
"วันนี้วันที่เท่าไหร่ ",Welches Datum ist heute?,das Datum
บ้านหลังไหนอยู่ตรงข้ามหลังของเธอ,Welches Haus ist deinem gegenüber?,
กระเป๋าเดินทางตรงนี้เป็นของใคร,Wem gehört der Koffer hier?,
เขาเจอใคร,Wen hat er getroffen?,- perfekt
คุณหาใครอยู่ ให้ฉันช่วยอะไรไหม,Wen suchen Sie? Kann ich Ihnen helfen?,
ผ่านไปครูหนึ่ง Michael กับ Julia ก็เข้ามาในบ้าน(W),Wenig später kommen Michael und Julia in die Wohnung.,
ตอนที่เธอ(๓ญ)กิน ฉันจะดื่ม,"Wenn sie isst, trinke ich.",
เธอคือใคร,Wer bist du?,
ใครอยู่กับ(!m)เธอ(๓)ในโรงพยาบาล,Wer ist bei ihr im Krankenhaus?,
คุณเป็นใครหรอครับ,Wer sind Sie?,Sie
คุณอายุเท่าไหร่,Wie alt bist du?,du
ลูกชายของคุณอายุเท่าไหร่,Wie alt ist Ihr Sohn?,Sie?
สะกดอย่างไร,Wie buchstabiert man das?,das
สภาพสิ่งแวดล้อมในทุกวันนี้เป็นอย่างไรบ้าง,Wie geht es der heutigen Umwelt?,
ในคอร์สภาษาเยอรมันเป็นอย่างไรบ้าง,Wie geht es im Deutschkurs?,
สบายดีไหม,Wie geht's?,du (ย่อ)
ว่าแต่ลูกชายคุณชื่ออะไร,Wie heißt Ihr Sohn eigentlich?,- คุณ: Sie
คุณชื่ออะไร,Wie heißt du?,du
หมาเขาชื่ออะไร,Wie heißt sein Hund?,
หมายเลขโทรศัพท์ของคุณ(Sie)คืออะไร,Wie ist Ihre Telefonnummer?,Sie
สลัดเป็นอย่างไรบ้าง,Wie ist der Salat?,
เธออยู่(sein)ที่เยอรมนีมานานเท่าไหร่<b><u><i>แล้ว</i></u></b>,Wie lange bist du schon in Deutschland?,
เราพักกลางวันกันนานแค่ไหน,Wie lange haben wir Mittagspause?,
ที่เคิล์นเป็นไงบ้าง,Wie läuft es in Köln?,
ช่างน่าอายเสียจริง　ฉันไม่ควรจะหัวเราะออกไปดังขนาดนั้น แต่มันน่าตลกอย่างบอกไม่ถูก,"Wie peinlich. Ich hätte nicht so laut lachen sollen, aber es ist irgendwie lustig.",
ฉันดูเป็นอย่างไรบ้าง,Wie sehe ich aus?,
ตอนนี้กี่โมงแล้ว,Wie spät ist es?,spät
กี่โมงแล้ว,Wie viel Uhr ist es?,Uhr
เขามีกระเป๋ากี่ใบ,Wie viele Taschen hat er?,
หกเดือนที่แล้วที่ Prinzenbad เป็นอย่างไร,Wie war das vor sechs Monaten im Prinzenbad?,- Prätaritum
ทำไมมันถึงน่าสนใจ,Wieso ist es interessant?,- !warum
เธออยากรู้(มัน)<b><u>จริง ๆ </u></b>หรอ,Willst du das wirklich wissen?,
เราพักกับ(ที่บ้าน)เพื่อน(พหู)เป็นเวลาสามวัน,Wir bleiben drei Tage bei den Freunden.,
เราต้องการไม้ฟืน(เอก-Artikel)สำหรับกองไฟ,Wir brauchen Holz für das Feuer.,
เราอยากจะพักผ่อนหลังจากที่มีงานเยอะ　เราจึงนั่งรถไฟ(B)ไป(f)เมืองกีเซินเพื่อไปหาเพื่อน(ช)คนหนึ่งและเพื่อน(ญ)ของเขา,Wir brauchen eine Pause nach der vielen Arbeit. Wir fahren gleich mit der Bahn nach Gießen zu einem Freund und seiner Freundin.,
พวกเรากลับหลังหัน,Wir drehen uns im Kreis.,
เราเดินทางไปประเทศสวิสฯ,Wir fahren in die Schweiz.,
เราบินไปกรุงเทพฯ,Wir fliegen nach Bangkok.,
พวกเราไปซื้อของตอนบ่ายแล้วตอนเย็นไปดูหนัง,Wir gehen am Nachmittag einkaufen und am Abend ins Kino.,
เราไปโรงหนังเช้ากว่า เพื่อที่เราจะได้ที่นั่งที่ดีกว่า,"Wir gehen früher ins Kino, damit bekommen wir die besseren Plätze.",
เราไปดูหนังเย็นวันนี้,Wir gehen heute Abend ins Kino.,
เราเข้าไปข้างใน ในนั้นไม่มีใครอยู่เลย,"Wir gehen hinein, doch es ist niemand da.",
เราจะไปว่ายน้ำกัน เธอจะไปด้วยกันไหม,"Wir gehen schwimmen, kommst du mit?",du
เราไปอย่างช้าสุดเก้าโมง,Wir gehen spätestens um neun.,
พวกเราขอสุขสันต์วันเกิดแด่เธอนะ,Wir gratulieren dir ganz herzlich zum Geburtstag!,- !<br>- g
พวกเรามีเงินเก็บอยู่,Wir haben Geld gespart.,perfekt
เราได้พักเบรกและกินอาหารกลางวัน,Wir haben Pause gemacht und zu Mittag gegessen.,- Perfekt
พวกเรามีทุกอย่าง รวมไปถึงส้มด้วย,"Wir haben alles, einschließlich Orangen.",
เราได้เที่ยวชมเมือง,Wir haben die Stadt besichtigt.,- Perfekt
เราได้ถกเถียงกันว่าเราจะทำอะไรกันดีตอนนี้,Wir haben diskutiert was wir jetzt machen.,- Perfekt
เรามีนกแก้วอยู่หนึ่งตัวที่บ้าน,Wir haben einen Papagei zu Hause.,
เราดื่มกาแฟกันในร้านกาแฟตรงจตุรัสกลางเมือง,Wir haben im Café am Marktplatz Kaffee getrunken.,- perfekt
เรานอนบนเครื่องบินได้ไม่สบาย,Wir haben im Flugzeug schlecht geschlafen.,- Perfekt
เราไม่มีอะไรร่วมกันเลย,Wir haben nichts gemeinsam.,
เราเปิด(เต)กระเป๋าเดินทางของเราออก,Wir haben unsere Koffer ausgepackt.,- Perfekt
พวกเราหา(f)ของของพวกเราไม่เจอ,Wir haben unsere Sachen nicht gefunden.,- perfekt
เราได้ทานอาหารด้วยกัน(และ)แล้วเรายังดื่มกาแฟกันต่อ,Wir haben zusammen gegessen und dann haben wir noch einen Kaffee getrunken.,- Perfekt
พวกเรามีรถสองคัน เพราะว่าพวกเราชอบรถยนต์,"Wir haben zwei Autos, denn wir mögen Autos.",- เพราะว่า: denn
พวกเรามีครูคนใหม่เมื่อวาน เราสนุกกันมาก,Wir hatten gestern einen neuen Lehrer. Wir hatten viel Spaß.,- Präteritum
เราจะมาเวลาประมาณเจ็ดโมง,Wir kommen um etwa sieben Uhr.,
พวกเราทำกับข้าวไม่เป็น,Wir können nicht kochen.,
พวกเราอ่านหนังสือเล่มสุดท้าย,Wir lesen das letzte Buch.,
พวกเราอ่านหนังสือเล่มหนึ่งให้พวกเขาฟัง,Wir lesen ihnen ein Buch vor.,
เราอ่านหนังสือพิมพ์สามฉบับเป็นอย่างต่ำ,Wir lesen mindestens drei Zeitungen.,
พวกเราอยาก(m)จะเอาเสื้อเชิ้ต(ตัวหนึ่ง)ให้(g)เขา,Wir möchten ihm ein Hemd geben.,
เรายังไม่อยากไป(n)บ้าน　แต่วันเสาร์เราต้องบินกลับไป<u>แล้ว</u>,Wir möchten nicht nach Hause gehen. Aber am Samstag müssen wir schon zurückfliegen.,
พวกเราต้องเร่งฝีเท้าให้ไวขึ้น ไม่งั้นเราจะไปสายเกินนะ,"Wir müssen uns beeilen, sonst kommen wir zu spät.",
เราขึ้นลิฟต์ไปถึงชั้น(E)สามและลง(ออกจาก)ลิฟต์,Wir nehmen den Aufzug in die dritte Etage und steigen aus.,
พวกเราเป็นนักเรียนแลกเปลี่ยนและกำลังเตรียมตัวที่จะเดินทางไปยังประเทศเยอรมนี,Wir sind Austauschstudenten und bereiten eine Reise nach Deutschland vor.,
เราอยู่ที่ที่ว่าการเมือง,Wir sind auf dem Rathaus.,
เราวิ่งเข้าออกหลายร้านแต่ก็ไม่เจอรองเท้าสวย ๆ เลย,Wir sind durch viele Geschäfte gelaufen und haben keine schöne Schuhe gefunden.,- Perfekt
เราได้บินสิบเอ็ดชั่วโมงไปปักกิ่ง,Wir sind elf Stunden nach Peking geflogen.,- Perfekt
เราเกือบจะถึงที่นั้นแล้ว,Wir sind gleich da.,
พวกเราอยู่บาร์เซโลนามาสี่วัน<u>แล้วตอนนี้</u>,Wir sind jetzt schon vier Tage in Barcelona.,
พวกเรานั้นเชื่อถือได้เสมอและทำงานอย่างเป็นอาชีพ,Wir sind stets zuverlässig und arbeiten professionell.,
เราเดินเล่นกับบุคคลที่เป็นที่รู้จักคนหนึ่ง,Wir spazieren mit einer bekannten Person.,
เราพูดคุยเกี่ยวกับสิ่งนั้น,Wir sprechen darüber.,
เราลงจากรถ,Wir steigen aus dem Auto.,
เรากำลังมองหาของขวัญให้(für)เพื่อน(ญ)ของเรา　เธอชอบทำอาหารและชอบดื่มชา,Wir suchen ein Geschenk für unsere Freundin. Sie kocht gern und trinkt gern Tee.,
พวกเรารอ(aw)พวกเธอที่นี่,Wir warten hier auf euch.,
เราทิ้งของไปหลายชิ้น,Wir werfen viele Sachen weg.,
เราอยากไปสระว่ายน้ำทุกวัน แต่ว่าไปได้แค่สัปดาห์ละครั้ง,"Wir wollten jeden Tag ins Schwimmbad gehen, aber wir durften nur einmal pro Woche gehen.",Präteritum
พวกเราขออวยพร(w)ให้เธอมีความสุขในวันเกิด,Wir wünschen dir alles Gute zum Geburtstag.,
จริงหรอ　ฉันไม่เชื่อเธอหรอก,Wirklich? Ich glaube dir nicht.,
คุณ(Sie)ทราบไหมว่าสถานีรถไฟอยู่ที่ไหน,"Wissen Sie, wo der Bahnhof ist?",
พวกเธอไปกินอาหารกลางวันที่ไหน,Wo habt ihr mittaggegessen?,- perfekt
ลูกฟุตบอลอยู่ไหน　มันไมได้อยู่ในห้องนั่งเล่นนะ,Wo ist der Fußball? Er ist nicht im Wohnzimmer.,
ทิศใต้อยู่ไหน,Wo ist der Süden?,
เสื้อกันหนาวของฉันอยู่ที่ไหน เมื่อวานมันอยู่บนโซฟา,Wo ist mein Pullover? Er war gestern auf dem Sofa.,
มัน(ก)จะอยู่ที่ไหนได้อีก,Wo kann es nur sein?,
ในดึสเซลดอร์ฟหากินซูชิได้ที่ไหนบ้าง,Wo kann man in Düsseldorf Sushi essen?,
เธอจะไปพักร้อนที่ไหน<u><b>ใน</b></u>ปีนี้,Wo machst du in diesem Jahr Urlaub?,du
พวกเขาอยู่ที่ไหนกันแน่,Wo sind sie genau?,
เราต้องเปลี่ยนรถที่ไหน / เราเปลี่ยนรถที่ Hann,Wo steigen wir um? / Wir steigen in Hann um.,
สัปดาห์ที่แล้วเธอไปอยู่ไหนมา,Wo warst du letzte Woche?,- Präteritum
คุณตา(G)อยากได้สุนัขไปเพื่ออะไร,Wofür braucht der Großvater einen Hund?,
เธอรู้จักเขาจากที่ไหน,Woher kennst du ihn?,
คุณมาจากที่ไหน,Woher kommen Sie?,Sie
เธอจะไปไหน,Wohin fährst du?,du
"พวกเธอ<b style=""text-decoration-line: underline;"">ไป</b><sub>(f)</sub><b style=""text-decoration-line: underline;"">ที่ไหน(wh)</b>มาช่วงเสาร์อาทิตย์",Wohin seid ihr am Wochenende gefahren?,- perfekt
คุณ(Sie)ไม่ได้อาศัยอยู่ที่เคิล์นหรอ / อยู่สิ อยู่มาสามปี<b><i><u>แล้ว</u></i></b>,"Wohnen Sie nicht in Köln? / Doch, schon seit drei Jahren.",
เขาชอบเดินทางไปด้วยวิธีใด,Womit fährt er gern?,
พวกเธอพูดเกี่ยวกับอะไร,Worüber sprecht ihr?,
คุณช่วยเบาเสียงวิทยุลงหน่อยได้ไหม,Würden Sie bitte das Radio leiser machen?,- W~
คุณช่วยอธิบายใบแจ้งหนี้หน่อยได้ไหม,Würden Sie mir bitte die Rechnung erklären?,- W~
เธอพาฉันเที่ยวชมเมืองได้ไหม,Zeigst du mir die Stadt?,
ตอนกลางวันฉันทานอาหารตอนบ่ายสองครึ่ง,Zu Mittag habe ich um halb drei gegessen.,perfekt / umgangsprachlich
ก่อนอื่นฉันจะไป(f→i)ตุรกีและก็จะบินไป(i)อเมริกา,Zuerst fahre ich in die Türkei und dann fliege ich in die USA.,
ในที่สุดเขาก็กินอาหารเที่ยงของเขา,Zuletzt isst er sein Mittagessen.,
โชคดีที่เรามีน้ำ,Zum Glück haben wir Wasser.,
ใน(เวลา)ทุกวันนี้ป่ามีขนาดเล็กลง,Zur heutigen Zeit ist der Wald kleiner.,
(ขอ)มันฝรั่งสองกิโล เอาแบบเนื้อแน่นไว้ทำสลัดมันฝรั่ง,"Zwei Kilo Kartoffeln, bitte, festkochend für Kartoffelsalat.",
ระหว่างร้านขายยากับร้านเสริมสวยเป็นสวนสาธารณะ,Zwischen der Apotheke und dem Friseur ist ein Park.,
เปิดตั้งแต่ 11:00 ถึง 23:00,von elf Uhr bis dreiundzwanzig Uhr geöffnet,- ไม่ใช่ประโยค
เปิดหน้าต่างให้หน่อย,Öffne bitte das Fenster.,- du<br>- bitte
ด้านบนของเธอ(๓)มีนกตัวหนึ่งบินอยู่,Über ihr fliegt ein Vogel.,- ขึ้นประโยคด้วยบุพบท
